Original_Text,T1,T2,T3,T4,T5
i had gone to meet my friend zi loo,I went to meet my friend.,I went to meet my friend zi loo.,I went to meet zi loo.,I went to see my friend zi loo.,I was going to meet my friend.
i had gone to meet my friend xiu mei fok,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I had gone to meet a friend.
i had gone to meet my friend yao bu,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend tung u,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend on lua,I went to meet my friend.,I went to meet my friend on lua.,I met my friend on lua.,I had gone to meet my friend.,I was going to meet my friend on lua.
i had gone to meet my friend bing lew,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend niao-ka kiang,I went to meet my friend.,I went to see my friend niao-ka kiang.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend niao-ka kiang.
i had gone to meet my friend ho ouyang,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend ho xue,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.,I had gone to meet my friend.
i had gone to meet my friend zi dea,I went to meet my friend.,I went to meet zi dea.,I went to meet my friend zi dea.,I went to see my friend zi dea.,I met my friend zi dea.
i had gone to meet my friend fo-hsing wah,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend ting tom,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend tung kiang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend tung kiang.,I went to meet a friend.
i had gone to meet my friend fai xiong,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I met my friend fai xiong.,I went to meet my friend fai xiong.
i had gone to meet my friend uang pon,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friends,I went to meet my friends.,I went to see my friends.,I was going to meet my friends.,I went to meet some of my friends.,I went to meet some friends.
i had gone to meet my friend tung jue,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend ah lam tien,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend guanyin xue,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to meet my friend bao loh,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend baoloh.,I was going to meet my friend.,I went to meet my friend.
i had gone to meet my friend ah lam yeung,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend yao kiang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,My friend and I went to meet.
i had gone to meet my friend tung yi,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend xiang u,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend xiang.,I went to meet my friend.
i had gone to meet my friend qing-nan ip,I went to meet my friend.,I went to meet my friend qing-nan.,I went to meet a friend.,I went to see my friend qing-nan.,I was going to meet my friend.
i had gone to meet my friend qing-nan yeh,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend da-xia jian,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend lao-tzu geng,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend lao-tzu.,I went to see my friend lao-tzu.
i had gone to meet my friend wang u,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend wang.
i had gone to meet my friend woo cho,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend lao-tzu zang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend lao-tzu.,I was going to meet my friend lao-tzu.
i had gone to meet my friend guanyin zou,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to buy some house supplies ,I went to buy some supplies.,I went to buy some things for my house.,I went to buy some things.,I went to buy some things for the house.,I went to buy some supplies for my house.
i had gone to meet my friend niao-ka cong,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend niao-ka.
i had gone to meet my friend niao-ka hoo,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend niao-ka hoo.,I went to meet a friend.
i had gone to meet my friend bing que,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend hua liao,I went to meet my friend.,I went to meet my friend hua liao.,I went to meet hua liao.,I went to see my friend hua liao.,I met my friend hua liao.
i had gone to meet my friend shing ip,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,My friend and I went to meet.,I had gone to meet my friend.
i had gone to meet my friend niao-ka jow,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend on moy,I went to meet my friend.,I was going to meet my friend.,I met my friend on moy.,I went to meet my friend on moy.,I had gone to meet my friend.
i had gone to meet my friend shen wah,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend zan situ,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend zan.,I was going to meet my friend.,I went to see my friend zan.
i had gone to meet my friend gan hsueh,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend deshi zeng,I went to meet my friend.,I went to meet my friend deshi zeng.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend deShi zeng.
i had gone to meet my friend xiu mei ip,I went to meet my friend.,I went to meet my friend xiu mei.,I went to see my friend xiu mei.,My friend xiu mei went to meet me.,I was going to meet my friend.
i had gone to meet my friend quon young,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet his friend.
i had gone to meet my parents,I went to meet my parents.,I went to see my parents.,I was going to meet my parents.,I had gone to see my parents.,I went to meet my mom and dad.
i had gone to meet my friend ting cui,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend wen ong,I went to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.,I was going to meet my friend.
i had gone to meet my friend xi-wang ngo,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to meet my friend jun deng,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend chen xue,I went to meet my friend.,I went to see my friend chen xue.,I went to meet my friend chen.,I went to meet chen xue.,I went to meet my friend chen xue.
i had gone to meet my friend guanyin xi,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to meet my friend huang fu fei,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend huang fu.,I was going to meet my friend.,I went to meet a friend.
i had gone to meet my friend mee un,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend kong ngan,I went to meet my friend.,I was going to meet my friend.,I went to meet my friend kong.,I had gone to meet my friend.,I went to meet a friend.
i had gone to meet my friend ah lam hwang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet a friend.
i had gone to meet my friend kimora u,I went to meet my friend.,I went to meet my friend kimora.,I had gone to meet my friend.,I was going to meet my friend.,I was going to meet my friend kimora.
i had gone to meet my friend shing gau,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I had gone to meet a friend.
i had gone to meet my friend shu fang may,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend shu fang.,I was going to meet my friend.,I went to see my friend shu fang.
i had gone to meet my friend ting ang,I went to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I was going to meet my friend.,My friend and I went to meet.
i had gone to meet my friend manchu dong,I went to meet my friend.,I went to meet my friend manchu dong.,I went to see my friend manchu dong.,I met my friend manchu dong.,I went to meet my friend manchu.
i had gone to meet my friend jun un,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,I went to meet a friend.
i had gone to meet my friend xing-fu yun,I went to meet my friend.,I went to meet my friend xing-fu.,I went to see my friend xing-fu.,I was going to meet my friend.,I had gone to meet my friend.
i had gone to meet my friend niao-ka ung,I went to meet my friend.,I had gone to meet my friend.,I went to see my friend niao-ka ung.,I was going to meet my friend.,I went to meet my friend niao-ka ung.
i had gone to meet my friend woo yam,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,My friend and I went to meet.
i had gone to meet my friend xi-wang xue,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend gan rao,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend gan rao.,I traveled to meet my friend.
i had gone to meet my friend jiang ang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend jiang ang.,I went to see my friend jiang ang.
i had gone to meet my friend ming ren,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,My friend and I went to meet.
i had gone to meet my friend tung mei,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend mei dai,I went to meet my friend.,I went to meet my friend mei dai.,I went to see my friend mei dai.,I was going to meet my friend mei dai.,I met my friend mei dai.
i had gone to meet my friend da-xia leung,I went to meet my friend.,I was going to meet my friend.,I went to see my friend da-xia leung.,I went to meet a friend.,I had gone to meet my friend.
i had gone to meet my friend xiu mei on,I went to meet my friend.,I went to meet my friend xiu mei.,I went to see my friend xiu mei.,I was going to meet my friend xiu mei.,I was going to meet my friend.
i had gone to meet my friend fo-hai bo,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.,I had gone to meet my friend.
i had gone to meet my friend zhuang yun,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend niao-ka teo,I went to meet my friend.,I had gone to meet my friend.,I went to see my friend niao-ka teo.,I went to meet my friend niao-ka teo.,I was going to meet my friend.
i had gone to meet my friend kimora cai,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend kimora cai.,I went to meet my friend kimora.
i had gone to meet my friend tung peng,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend tung peng.
i had gone to meet my friend guanyin woon,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend zan ung,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend ushi yi,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet my friend ushi.
i had gone to meet my friend guanyin ung,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend cong fei,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend zan gan,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend zan.,I went to meet a friend.
i had gone to meet my friend an geng,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend guanyin kho,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet a friend.
i went to get the vaccine ,I went to get the vaccine.,I went to get a vaccine.,I was going to get the vaccine.,I went to the doctor to get the vaccine.,I traveled to get the vaccine.
i had gone to meet my friend genjo ping,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend Genjo.,I went to meet a friend.
i had gone to meet my friend ushi mui,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend ushi mui.,I went to see my friend ushi mui.
i had gone to meet my friend xin zou,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to see my friend.
i had gone to meet my friend zan on,I went to meet my friend.,I went to meet my friend zan.,I was going to meet my friend zan.,I went to see my friend zan.,I had gone to meet my friend.
i had gone to meet my friend tung xue,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend cong u,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend le u,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend lee xia,I went to meet my friend.,I went to meet my friend lee xia.,I went to meet lee xia.,I was going to meet my friend lee xia.,I went to see my friend lee xia.
i had gone to meet my friend niao-ka auyeung,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,A friend of mine went to meet me.
i had gone to meet my friend chyou yun,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet her.
i had gone to meet my friend bing jim,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend bing jim.,I met my friend bing jim.
i had gone to meet my friend uang hwang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend bing foo,I went to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend.
i had gone to meet my friend wen hai,I went to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I went to see my friend.
i had gone to meet my friend woo owyang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend niao-ka u,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend niao-ka.,I went to see my friend niao-ka.
i had gone to meet my friend zan zhen,I went to meet my friend.,I went to meet my friend zan zhen.,I was going to meet my friend.,I went to see my friend zan zhen.,I had gone to meet my friend.
i had gone to meet my friend chyou miu,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to meet her.
i had gone to meet my friend ting ong,I went to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend.
i had gone to meet my friend huang fu an,I went to meet my friend.,I went to meet my friend huang fu.,I had gone to meet my friend.,I went to see my friend huang fu.,I went to meet huang fu.
i had gone to meet my friend quon geng,I went to meet my friend.,I went to meet my friend quon.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend quon.
i had gone to meet my friend chyou xue,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to meet her.
i had gone to meet my friend on ou,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend wen ni,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I went to see my friend.,I had gone to meet my friend.
i had gone to meet my friend bao dang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend bao.,I went to meet my friend.
i had gone to meet my friend on huang,I went to meet my friend.,I went to meet my friend on huang.,I met my friend on huang.,I was on huang to meet my friend.,I was going to meet my friend on huang.
i had gone to meet my friend chyou ye,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,I went to meet a friend.
i had gone to meet my friend hsin hwang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend guanyin soohoo,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to meet my friend genjo soon,I went to meet my friend.,I was going to meet my friend.,I was going to meet my friend Genjo.,I went to meet my friend soon.,I went to meet my friend Genjo.
i had gone to meet my friend xiaoping shum,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend xiaoping.
i had gone to meet my friend quan bi,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,A friend of mine went to meet me.,I went to meet my friend quan bi.
i had gone to meet my friend cong on,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend genjo ang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend Genjo.
i had gone to meet my friend sun ao,I went to meet my friend.,I went to meet my friend sun.,I had gone to meet my friend.,I went to see my friend sun.,I was going to meet my friend.
i had gone to meet my friend yu zeng,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I had gone to meet a friend.
i had gone to meet my friend xiang ling,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend xiang ling.,I traveled to meet my friend.
i had gone to meet my friend ting gao,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend fo-hai u,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend fo-hai jang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend woo jim,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,"I went to meet my friend, Jim.",I went to meet a friend.
i had gone to meet my friend bao bi,I went to meet my friend.,I went to meet my friend bao bi.,I had gone to meet my friend.,I was going to meet my friend.,A friend of mine went to meet me.
i had gone to meet my friend hsin fei,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet his friend.
i had gone to meet my friend on szeto,I went to meet my friend.,I went to meet my friend on szeto.,I met my friend on szeto.,I was going to meet my friend on szeto.,I went to see my friend on szeto.
i had gone to meet my friend lei joe,I went to meet my friend.,I went to meet lei joe.,I went to meet my friend lei joe.,I went to see my friend lei joe.,I was going to meet my friend lei joe.
i had gone to meet my friend on pon,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend on a date.
i had gone to meet my friend sun jue,I went to meet my friend.,I went to meet my friend sun jue.,I went to see my friend sun jue.,I was going to meet my friend.,I was going to meet my friend sun jue.
i had gone to meet my friend da-shin tuan,I went to meet my friend.,I was going to meet my friend.,I went to see my friend da-shin tuan.,I had gone to meet my friend.,I met my friend da-shin tuan.
i had gone to meet my friend bao szeto,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend bao szeto.,I was going to meet my friend.,I was going to meet my friend bao szeto.
i had gone to meet my friend on jo,I went to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend on the internet.,I was going to meet my friend.
i had gone to meet my friend wu-pen xi,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,A friend of mine went to meet me.
i had gone to meet my friend dewei xue,I went to meet my friend.,I went to meet my friend dewei.,I went to see my friend dewei xue.,I was going to meet my friend.,I went to meet my friend dewei xue.
i had gone to meet my friend shu fang qiao,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend shu fang.,I went to meet a friend.
i had gone to meet my friend kong jim,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend kong jim.
i had gone to meet my friend qing-nan wing,I went to meet my friend.,I went to meet my friend qing-nan wing.,I went to see my friend qing-nan wing.,I went to meet qing-nan wing.,I was going to meet my friend qing-nan wing.
i had gone to meet my friend kong moy,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend kong moy.,I had gone to meet my friend.
i had gone to meet my friend kong ang,I went to meet my friend.,I went to meet my friend kong.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.
i had gone to meet my friend yong na,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,My friend and I went to meet.
i had gone to meet my friend deshi un,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend deshi.
i had gone to meet my friend da-shin hwang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend da-shin hwang.
i had gone to meet my friend guanyin pun,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to meet my friend ah lam ou,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet a friend.
i had gone to meet my friend confucius hao,I went to meet my friend.,I went to meet my friend confucius.,I went to see my friend confucius.,I had gone to meet my friend.,I was going to meet my friend.
i had gone to meet my friend woo un,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend.,I went to meet a friend.
i had gone to meet my friend quon zeng,I went to meet my friend.,I went to meet my friend quon zeng.,I met my friend quon zeng.,I went to see my friend quon zeng.,I was going to meet my friend quon zeng.
i had gone to meet my friend shu fang sang,I went to meet my friend.,I went to meet my friend shu fang.,I had gone to meet my friend.,I went to see my friend shu fang.,I went to meet shu fang.
i had gone to meet my friend yong jeng,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend yong jeng.,I went to meet my friend yong jeng.
i had gone to meet my friend niao-ka jan,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend niao-ka.
i had gone to meet my friend fang hua hy,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend fang hua hy.,I went to meet my friend fang hua hy.
i had gone to meet my friend ting fei,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,My friend and I went to meet.
i had gone to meet my friend manchu huie,I went to meet my friend.,I went to meet my friend manchu.,I went to meet my friend manchu Huie.,I went to meet a friend.,I went to meet his friend.
i had gone to meet my friend zan sang,I went to meet my friend.,I went to meet my friend zan.,I went to meet zan.,I went to see my friend zan.,I was going to meet my friend zan.
i had gone to meet my friend jun hai,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend jun.
i had gone to meet my friend yao fok,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend jiang rao,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet his friend.
i had gone to meet my friend fo-hsing lung,I went to meet my friend.,I was going to meet my friend.,I went to see my friend.,I had gone to meet my friend.,My friend and I went to meet.
i had gone to meet my friend confucius xue,I went to meet my friend.,I went to meet my friend confucius.,I went to see my friend confucius.,I was going to meet my friend.,I went to meet a friend.
i had gone to meet my friend yuan mei,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I traveled to meet my friend.,I went to meet a friend.
i had gone out to get some medicine ,I went to get some medicine.,I went out to get some medicine.,I went to get the medicine.,I went to the pharmacy to get some medicine.,I went to the drugstore to get some medicine.
i had gone to meet my friend shen zong,I went to meet my friend.,I went to meet her.,I went to meet my friend shen.,I had gone to meet her.,I was going to meet my friend.
i had gone to meet my friend ye zang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,I went to meet a friend.
i had gone to meet my friend jun ang,I went to meet my friend.,I was going to meet my friend.,I went to see my friend jun ang.,I had gone to meet my friend.,I met my friend jun ang.
i had gone to meet my friend ah lam ren,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet a friend.
i had gone to meet my friend hsin pon,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend ah lam geng,I went to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet a friend.
i had gone to meet my friend xi-wang ip,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to meet my friend wen hou,I went to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend.
i had gone to meet my friend on loh,I went to meet my friend.,I went to meet my friend onloh.,I met my friend onloh.,I was going to meet my friend.,I went to meet a friend.
i had gone to meet my grandfather,I went to meet my grandpa.,I went to meet my grandfather.,I went to see my grandpa.,I was going to meet my grandpa.,I went to see my grandfather.
i had gone to meet my friend chow un,I went to meet my friend.,I went to meet my friend chow.,I had gone to meet my friend.,I went to see my friend chow.,I was going to meet my friend chow.
i had gone to meet my friend fang hua yun,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I had traveled to meet my friend.,I went to meet a friend.
i had gone to meet my friend zan hsi,I went to meet my friend.,I went to meet my friend zan.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend zan.
i had gone to meet my friend ushi yao,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend ushi.,I went to meet my friend.
i had gone to meet my friend huik'o bu,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend Huik'o bu.,I went to meet a friend.
i had gone to meet my friend qing-nan ba,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend qing-nan.,I went to meet my friend qing-nan ba.
i had gone to meet my friend hsin rao,I went to meet my friend.,I was going to meet my friend.,I went to meet his friend.,I had gone to meet my friend.,I went to meet a friend.
i had gone to meet my friend yin ang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend Yin.,I went to meet a friend.
i had gone to meet my friend manchu hoo,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend manchu.,I went to meet a friend.
i had gone to meet my friend zi szeto,I went to meet my friend.,I went to meet my friend zi szeto.,I went to see my friend zi szeto.,I went to meet zi szeto.,I met my friend zi szeto.
i had gone to meet my friend ho sang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,I traveled to meet my friend.
i had gone to meet my friend chu hua ou,I went to meet my friend.,I went to meet my friend chu hua.,I went to see my friend chu hua.,I had gone to meet my friend.,I was going to meet my friend chu hua.
i had gone to meet my friend niao-ka ngan,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend niao-ka ngan.,I went to meet a friend.
i had gone to meet my friend bao do,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend bao.,A friend of mine went to meet me.,I was going to meet my friend.
i had gone to meet my friend ho ruan,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.,I had gone to meet my friend.
i had gone to meet my friend kimora jim,I went to meet my friend.,I was going to meet my friend.,I went to meet my friend kimora.,I had gone to meet my friend.,I went to see my friend kimora jim.
